Time,RecordTime,Trigger,Timecode,D3 Time,LX Cue,D3 Cue
19:40.15,0:0:5:0,LX,00:00:00:00,00:35:15.09,1/324,
19:40.19,0:0:8:59,LX,00:00:00:00,00:35:45.07,1/326,
19:40.47,0:0:37:0,LX,00:00:00:00,00:36:12.27,1/328,
19:40.53,0:0:43:0,D3,11:00:01:25,00:36:15.00,1/330,CUE:330
19:40.53,0:0:43:0,LX,11:00:01:29,00:36:15.07,1/330,WOMANIZER
19:41.15,0:1:5:59,D3,11:00:23:21,00:36:45.00,1/332,CUE:332
19:41.15,0:1:5:59,LX,11:00:23:29,00:36:45.08,1/332,(right block grow)
19:41.36,0:1:26:0,LX,11:00:44:22,00:37:06.00,1/334,(right block grow)
19:41.41,0:1:31:59,LX,11:00:50:07,00:37:11.15,1/336,(right block grow)
19:42.05,0:1:55:59,LX,00:00:00:00,00:37:15.00,1/338,(right block grow)
19:42.12,0:2:2:59,LX,00:00:00:00,00:37:15.00,1/340,(right block grow)
19:42.20,0:2:10:0,LX,11:01:23:22,00:37:15.00,1/342,(right block grow)
19:42.47,0:2:37:59,D3,11:01:51:03,00:37:15.00,1/344,CUE:344
19:42.47,0:2:37:59,LX,11:01:51:11,00:37:15.08,1/344,button
19:43.22,NO,LX,00:00:00:00,00:37:45.00,1/342,button
19:43.22,NO,LX,00:00:00:00,00:37:45.00,1/340,button
19:43.22,NO,LX,00:00:00:00,00:37:45.00,1/338,button
19:43.22,NO,LX,00:00:00:00,00:37:45.00,1/336,button
19:43.22,NO,D3,00:00:00:00,00:36:45.00,1/334,CUE:346
19:43.22,NO,LX,00:00:00:00,00:36:45.01,1/334,(right block grow)
19:43.22,NO,LX,00:00:00:00,00:36:45.11,1/332,(right block grow)
19:45.18,NO,LX,00:00:00:00,00:37:00.00,1/334,(right block grow)
19:45.18,NO,LX,00:00:00:00,00:37:00.00,1/336,(right block grow)
19:45.20,NO,LX,00:00:00:00,00:37:00.00,1/338,(right block grow)
19:45.20,NO,LX,00:00:00:00,00:36:56.00,1/340,(right block grow)
19:45.20,NO,LX,00:00:00:00,00:36:59.15,1/342,(right block grow)
19:45.20,NO,D3,00:00:00:00,00:37:00.00,1/344,CUE:344
19:45.20,NO,LX,00:00:00:00,00:37:00.07,1/344,button
19:45.21,NO,D3,00:00:00:00,00:37:02.00,1/344,28:CUE 346
19:45.35,NO,D3,00:00:00:00,00:36:44.00,1/344,CUE:344
19:45.35,NO,D3,00:00:00:00,00:36:45.00,1/344,CUE:332
19:45.42,NO,LX,00:00:00:00,00:36:58.12,1/342,(right block grow)
19:46.08,NO,LX,00:00:00:00,00:36:45.00,1/332,(right block grow)
19:46.14,NO,D3,00:00:00:00,00:36:44.00,1/332,CUE:344
19:46.14,NO,D3,00:00:00:00,00:36:45.00,1/332,CUE:332
19:46.21,NO,LX,00:00:00:00,00:36:45.00,1/334,(right block grow)
19:46.21,NO,LX,00:00:00:00,00:36:45.00,1/332,(right block grow)
19:46.23,NO,LX,00:00:00:00,00:36:45.00,1/334,(right block grow)
19:46.23,NO,LX,00:00:00:00,00:36:45.00,1/332,(right block grow)
19:46.26,NO,LX,00:00:00:00,00:36:45.00,1/334,(right block grow)
19:46.26,NO,LX,00:00:00:00,00:36:45.00,1/336,(right block grow)
19:46.29,NO,LX,00:00:00:00,00:36:45.00,1/338,(right block grow)
19:46.30,NO,LX,00:00:00:00,00:36:45.00,1/336,(right block grow)
19:46.30,NO,LX,00:00:00:00,00:36:45.00,1/338,(right block grow)
19:46.32,NO,LX,00:00:00:00,00:36:45.00,1/340,(right block grow)
19:46.32,NO,LX,00:00:00:00,00:36:45.00,1/342,(right block grow)
19:46.34,NO,LX,00:00:00:00,00:36:45.00,1/344,(right block grow)
19:46.34,NO,LX,00:00:00:00,00:36:45.00,1/346,(right block grow)
19:46.36,NO,LX,00:00:00:00,00:36:45.00,1/344,(right block grow)
19:46.37,NO,LX,00:00:00:00,00:36:45.00,1/346,(right block grow)
19:48.17,NO,D3,00:00:00:00,00:36:44.00,1/346,CUE:344
19:48.18,NO,D3,00:00:00:00,00:36:45.00,1/346,TC:11:00:30:01
19:48.29,NO,D3,00:00:00:00,00:36:44.00,1/346,CUE:344
19:48.37,NO,D3,00:00:00:00,00:36:45.00,1/346,TC:11:00:30:01
